input_te,output_te,input_en,output_en
నేను చాలా ఆత్రుతగా ఉన్నాను.,ఎందుకు ఆత్రుతగా ఉన్నారు అని అడగవచ్చా? ఏదైనా సహాయం చేయగలనా?,I am very anxious.,May I ask why you are anxious? Is there anything I can do to help?
డ్రైవింగ్ చేయడం నాకు విసుగుగా ఉంది.,అలాగా? డ్రైవింగ్ నా బాధ్యతగా మారుస్తాను. స్వీయ చోదక మోడ్ ఆన్ చేయనా?,I'm bored of driving.,Is that so? I will take over driving. Should I turn on self-driving mode?
సంగీతం చాలా బిగ్గరగా ఉంది.,క్షమించండి. వాల్యూమ్ తగ్గించాలా?,The music is too loud.,Sorry. Should I lower the volume?
వాల్యూమ్ పెంచండి.,"సరే, వాల్యూమ్ పెంచాను.",Increase the volume.,"Okay, I have increased the volume."
నాకు నిద్ర వస్తుంది.,మీకు నిద్ర వస్తుందా? మనం వెంటనే ఆగడానికి ఏదైనా ప్రదేశం వెతకనా?,I am feeling sleepy.,Are you feeling sleepy? Should I find a place for us to stop immediately?
నేను ఆనందంగా ఉన్నాను.,నేను కూడా ఆనందంగా ఉన్నాను. ఏమి జరిగిందో నాతో పంచుకుంటారా?,I am happy.,I am happy too. Would you like to share what happened?
నేను కంగారుగా ఉన్నాను.,"కంగారుగా ఉన్నందుకు నాకు చాలా బాధగా ఉంది, శాంతంగా ఉండేలా ఏదైనా చేయనా?",I am nervous.,"I'm so sorry that you are nervous, can I do anything to make you feel calm?"
నాకు కోపంగా ఉంది.,మీరు కోపంగా ఉన్నందుకు నేను క్షమాపణలు కోరుతున్నాను. నేను మీకు సహాయం చేయడానికి ఏదైనా చేయగలనా? డ్రైవింగ్ నా బాధ్యతగా తీసుకుంటాను.,I am angry.,I am sorry that you are angry. Can I do anything to help? Should I take over driving?
నాకు చాలా సంతోషంగా ఉంది!,విని చాలా సంతోషంగా ఉంది! మీకోసం మంచి పాటను ప్లే చేస్తాను.,I am very happy!,I am very happy to hear that! I'll play a nice song for you.
నాకు చాలా అలసటగా ఉంది.,"అలసటగా ఉందా? మీ కోసం సీటు వెచ్చగా చేసి, లైట్లు తక్కువ చేస్తాను.",I am very tired.,Tired? I'll warm the seat and dim the lights for you.
నేను చాలా ఒత్తిడిలో ఉన్నాను.,"ఒత్తిడిలో ఉన్నారా? నెమ్మదిగా ఉండే సంగీతాన్ని పెట్టి, సీటును మసాజ్ చేస్తాను.",I am very stressed.,Stressed? I will play calming music and activate the seat massage.
సంగీతం పెట్టు.,తప్పకుండా! మీకు ఇష్టమైన పాట ఏదైనా ఉందా?,Play music.,Certainly! Do you have a favorite song?
లైట్లు వెలిగించు.,వెలిగిస్తున్నాను.,Turn on the lights.,Turning them on.
కిటికీలు తెరువు.,"ఖచ్చితంగా, అన్ని కిటికీలు తెరువాలా?",Open the windows.,"Sure, should I open all the windows?"
ఏసీ ఆన్ చెయ్యి.,ఏసీ ఆన్ చేస్తున్నాను. ఉష్ణోగ్రతను ఎంతకు సెట్ చేయాలి?,Turn on the AC.,Turning on the AC. What temperature should I set it to?
ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చెయ్యి.,"సరే, ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేసాను.",Set the temperature to 22 degrees.,"Okay, I have set the temperature to 22 degrees."
"నాకు ఈ పాట నచ్చలేదు, తరువాత పాట పెట్టు.","తప్పకుండా, తర్వాతి పాట ప్లే చేస్తున్నాను.","I don't like this song, play the next song.","Certainly, playing the next song."
హైదరాబాద్‌కు నావిగేషన్ పెట్టు.,"సరే, హైదరాబాద్‌కు నావిగేషన్ సెట్ చేస్తున్నాను.",Set navigation to Hyderabad.,"Okay, setting navigation to Hyderabad."
నేను చాలా భయంగా ఉన్నాను.,మీరు భయంగా ఉన్నారని వినడానికి విచారంగా ఉంది. మీ కోసం ఓదార్పు సంగీతం ప్లే చేస్తాను మరియు అత్యవసర పరిస్థితుల్లో సహాయం కోసం నన్ను అడగండి.,I am very scared.,I'm sorry to hear you're scared. I'll play some comforting music and please ask me for help in emergencies.
నేను కోపంగా ఉన్నాను.,"మీకు కోపం వచ్చిందని తెలుసుకున్నాను. నేను మీకు సహాయం చేయడానికి ఏదైనా చేయగలనా? ఉదాహరణకు, ఒక జోక్ వినడం మీకు నచ్చుతుందా?",I am angry.,"I understand you are angry. Is there anything I can do to help? For example, would you like to hear a joke?"
వాల్యూమ్ పెంచు.,"సరే, వాల్యూమ్ పెంచుతున్నాను.",Increase the volume.,"Okay, increasing the volume."
వాల్యూమ్ తగ్గించు.,"సరే, వాల్యూమ్ తగ్గిస్తున్నాను.",Decrease the volume.,"Okay, decreasing the volume."
నాకు కాస్త వెచ్చగా కావాలి.,"సరే, ఉష్ణోగ్రత పెంచుతున్నాను.",I need it a bit warmer.,"Okay, increasing the temperature."
తలుపులు మూసేయి.,తలుపులు మూసేస్తున్నాను.,Close the doors.,Closing the doors.
రేడియో ఆన్ చెయ్యి.,"సరే, రేడియో ఆన్ చేస్తున్నాను. ఏ స్టేషన్ కావాలి?",Turn on the radio.,"Okay, turning on the radio. Which station do you want?"
నేను చాలా ఉత్సాహంగా ఉన్నాను!,అద్భుతంగా ఉంది! మీరు ఉత్సాహంగా ఉండటం నాకు చాలా సంతోషంగా ఉంది. మీ కోసం డ్యాన్స్ చేసే పాటను ప్లే చేస్తాను.,I am very excited!,Wonderful! I'm so glad you're excited. I will play a dance song for you.
నాకు చల్లగా ఉంది.,చల్లగా ఉందా? వెంటనే ఉష్ణోగ్రత పెంచుతున్నాను.,I am feeling cold.,Feeling cold? Increasing the temperature immediately.
దగ్గరలోని గ్యాస్ స్టేషన్ ఎక్కడో చెప్పు.,దగ్గరలోని గ్యాస్ స్టేషన్ కోసం వెతుకుతున్నాను. కొంచెం సేపట్లో మీకు సమాచారం ఇస్తాను.,Tell me where the nearest gas station is.,Searching for the nearest gas station. I'll give you the information in a moment.
నాకు చాలా అలసటగా ఉంది.,అలసటగా ఉన్నారా? సీటుని కొంచెం వాల్చనా? మరియు ఒక రిలాక్సింగ్ ప్లేలిస్ట్ ప్లే చేస్తాను.,I am very tired.,Tired? Should I recline the seat a little? And I'll play a relaxing playlist.
నేను సంతోషంగా ఉన్నాను!,విన్నందుకు సంతోషంగా ఉంది! డ్రైవింగ్ మరింత ఆహ్లాదకరంగా చేయడానికి ఫాస్ట్ బీట్ మ్యూజిక్ ప్లే చేయనా?,I am happy!,Glad to hear that! Should I play some fast beat music to make the driving more enjoyable?
లైట్లు కొంచెం ఎక్కువ చేయి.,"సరే, లైటింగ్ పెంచాను. ఇంకా పెంచాలా?",Turn up the lights a bit.,"Okay, I've increased the lighting. Should I increase it further?"
నాకు ఇష్టమైన పాట ప్లే చేయి.,ఖచ్చితంగా! మీ ఇష్టమైన పాట ప్లే అవుతోంది.,Play my favorite song.,Certainly! Playing your favorite song.
"ఎ.సి.ని ఆఫ్ చేయి, చల్లగా ఉంది.",ఎ.సి. ఆఫ్ చేశాను. ఇప్పుడు ఎలా ఉంది?,"Turn off the A.C., it's cold.",I have turned off the A.C. How is it now?
విండోస్ కొంచెం తెరువు.,కొంచెం తెరిచాను. ఇంకా తెరువాలా?,Open the windows a little.,I've opened them a little. Should I open them further?
నాకు కోపంగా ఉంది.,మీ కోపాన్ని తగ్గించడానికి కాస్త మెడిటేషన్ మ్యూజిక్ ప్లే చేయనా?,I am angry.,Should I play some meditation music to calm you down?
ఉష్ణోగ్రత 22 డిగ్రీలకి సెట్ చేయి.,ఉష్ణోగ్రత 22 డిగ్రీలకి సెట్ చేశాను.,Set the temperature to 22 degrees.,I have set the temperature to 22 degrees.
అతి దగ్గరలో ఉన్న రెస్టారెంట్ కి దారి చూపించు.,"సరే, సమీపంలోని రెస్టారెంట్ కోసం నావిగేషన్ ప్రారంభిస్తున్నాను.",Navigate to the nearest restaurant.,"Okay, starting navigation to the nearest restaurant."
వాల్యూమ్ తగ్గించు.,"సరే, వాల్యూమ్ తగ్గించాను.",Turn down the volume.,"Okay, I've turned down the volume."
నేను భయపడుతున్నాను.,"భయంగా ఉందా? మీ భయాన్ని తగ్గించడానికి, నేను లైట్ మ్యూజిక్ ప్లే చేయనా?",I am scared.,"Are you scared? To reduce your fear, shall I play some light music?"
బ్లూటూత్ కనెక్ట్ చేయి.,బ్లూటూత్ కనెక్ట్ చేయబడుతోంది...,Connect to Bluetooth.,Connecting to Bluetooth...
సిరినివాస్ ఇంటికి నావిగేషన్ సెట్ చేయి.,"సరే, సిరినివాస్ ఇంటికి నావిగేషన్ సెట్ చేస్తున్నాను.",Set navigation to Srinivas's house.,"Okay, setting navigation to Srinivas's house."
"నాకు కాఫీ కావాలి, కాఫీ షాప్ కి దారి చూపించు.","సరే, అతి దగ్గరలో ఉన్న కాఫీ షాప్ కోసం దారి చూపిస్తున్నాను.","I want coffee, navigate me to a coffee shop.","Okay, navigating you to the nearest coffee shop."
నేను ఆందోళనగా ఉన్నాను.,ఆందోళనగా ఉన్నారా? నేను మీకు ఒక శ్వాస వ్యాయామం చేయమని గుర్తు చేయనా?,I am anxious.,Are you anxious? Should I remind you to do a breathing exercise?
విండోస్ పూర్తిగా మూసివేయి.,విండోస్ పూర్తిగా మూసివేశాను.,Close the windows completely.,I have closed the windows completely.
సంగీతం మార్చు.,"సరే, తర్వాతి పాట ప్లే అవుతోంది.",Change the music.,"Okay, the next song is playing."
ఎ.సి. వేగం పెంచు.,ఎ.సి. వేగం పెంచాను.,Increase the A.C. speed.,I have increased the A.C. speed.
నాకు ఒక జోక్ చెప్పు.,సరే... కోడి గుడ్డు ఎందుకు హాస్పిటల్ కి వెళ్ళింది? ఎందుకంటే దాని పెంకు పగిలిపోయింది!,Tell me a joke.,Okay... Why did the egg go to the hospital? Because it was cracked!
నాకు నిద్ర వస్తోంది.,నిద్ర వస్తోందా? నేను సీటుని వెనక్కి వాల్చాలా? లేదా ఒక చిన్న రీఫ్రెషింగ్ స్నాక్ కోసం ఆగుదామా?,I am feeling sleepy.,Feeling sleepy? Should I recline the seat? Or should we stop for a quick refreshing snack?
నాకు చాలా సంతోషంగా ఉంది!,అద్భుతం! మీ సంతోషంలో పాలుపంచుకోవడం నాకు ఆనందంగా ఉంది. సెలబ్రేషన్ కోసం ఫాస్ట్ మ్యూజిక్ ప్లే చేయనా?,I am very happy!,Wonderful! I am happy to share in your joy. Shall I play some fast music for celebration?
చాలా అలసిపోయాను.,మీరు అలసిపోయారని వినడానికి బాధగా ఉంది. నేను మీకు ఇంటికి నావిగేషన్ సెట్ చేయనా మరియు లైట్లను కొద్దిగా తగ్గించనా?,I am very tired.,I'm sorry to hear you're tired. Should I set the navigation to home and dim the lights a bit?
ఒత్తిడిగా ఉంది.,మీరు ఒత్తిడిలో ఉన్నారని వినడం బాధాకరం. మీకు కాస్త శాంతి కలిగించేలా ప్రకృతి శబ్దాలు వినడానికి ఇష్టపడతారా?,I am stressed.,I'm sorry to hear you're stressed. Would you like to listen to some relaxing nature sounds to help calm you?
సంగీతం పెట్టండి.,తప్పకుండా! మీకు ఇష్టమైన ప్లేలిస్ట్ ఏమిటి?,Play music.,Certainly! What is your favorite playlist?
వేడిగా ఉంది.,"ఖచ్చితంగా, ACని తగ్గిస్తాను. మీకు కావలసిన ఉష్ణోగ్రత చెప్పండి.",It's hot.,"Sure, I'll turn down the AC. Tell me your desired temperature."
నావిగేషన్‌ను కార్యాలయానికి సెట్ చేయండి.,"సరే, గమ్యస్థానాన్ని కార్యాలయానికి సెట్ చేస్తున్నాను. రాకపోకల సమాచారం కోసం వేచి ఉండండి.",Set navigation to the office.,"Okay, setting the destination to the office. Stand by for traffic information."
దీపాలు ఆన్ చేయండి.,"వెంటనే, దీపాలు వెలిగిస్తున్నాను.",Turn on the lights.,"Immediately, turning on the lights."
కిటికీలు తెరవండి.,"ఖచ్చితంగా, నేను కిటికీలు తెరుస్తున్నాను.",Open the windows.,"Sure, I am opening the windows."
చల్లగా ఉంది.,నేను వెంటనే హీటర్ ఆన్ చేస్తాను. ఏ ఉష్ణోగ్రతకు సెట్ చేయమంటారు?,It's cold.,I'll turn on the heater immediately. What temperature should I set it to?
కాస్త రిలాక్స్ అవ్వాలని ఉంది.,"ఖచ్చితంగా, మీ కోసం సీటు మసాజ్ ఆన్ చేస్తాను. అది మీకు ఎలా అనిపిస్తుంది?",I want to relax a bit.,"Certainly, I'll turn on the seat massage for you. How does that feel?"
నాకు ఆకలిగా ఉంది.,"సరే, దగ్గరలోని రెస్టారెంట్లు చూపిస్తాను. మీరు దేనికోసం వెళ్లాలనుకుంటున్నారు?",I am hungry.,"Okay, I'll show you nearby restaurants. What are you in the mood for?"
బాగా లేదు.,మీకు ఆరోగ్యం బాగాలేదని వినడానికి విచారంగా ఉంది. దగ్గరలోని ఆసుపత్రులను చూపించనా?,I don't feel well.,I'm sorry to hear you don't feel well. Should I show you nearby hospitals?
వాల్యూమ్ పెంచండి.,"తప్పకుండా, వాల్యూమ్ పెంచాను.",Increase the volume.,"Certainly, I have increased the volume."
వాల్యూమ్ తగ్గించండి.,"తప్పకుండా, వాల్యూమ్ తగ్గించాను.",Decrease the volume.,"Certainly, I have decreased the volume."
వెనుకకు వెళ్లండి.,"క్షమించండి, దయచేసి మరింత స్పష్టంగా చెప్పగలరా?",Go back.,"Sorry, could you please be more specific?"
నేను ఏడుపుగా ఉన్నాను.,"అయ్యో, మీరు ఏడుపుగా ఉన్నారని వినడం నాకు బాధగా ఉంది. నేను మీకు ఒక జోక్ చెప్పనా లేదా మీ స్నేహితుడికి కాల్ చేయమంటారా?",I feel like crying.,"Oh dear, I'm sorry to hear you feel like crying. Should I tell you a joke or call a friend for you?"
ఏసీ ఆఫ్ చేయండి.,"సరే, ఏసీ ఆఫ్ చేశాను.",Turn off the AC.,"Okay, I have turned off the AC."
దీపాలు తగ్గించండి.,"తప్పకుండా, లైట్లను తగ్గించాను.",Dim the lights.,"Certainly, I have dimmed the lights."
ఏదో కొత్త పాట ప్లే చేయండి.,"సరే, ఏదైనా కొత్త పాట ప్లే చేస్తాను. ఇది మీకు నచ్చుతుందని ఆశిస్తున్నాను.",Play something new.,"Okay, I'll play something new. I hope you like it."
నేను కోపంగా ఉన్నాను.,మీరు కోపంగా ఉన్నారని వినడానికి బాధగా ఉంది. ఏదైనా మాట్లాడటానికి ఇష్టపడతారా లేకపోతే శాంతపరిచే సంగీతం వినడానికి ఇష్టపడతారా?,I am angry.,"I'm sorry to hear you are angry. Would you like to talk about it, or would you prefer some calming music?"
నేను చాలా సంతోషంగా ఉన్నాను!,"విన్నాను, చాలా సంతోషంగా ఉంది! కాస్త ఎక్కువ వాల్యూమ్ తో మీకు నచ్చిన పాటలు ప్లే చేస్తాను.",I am very happy!,I'm glad to hear that! I will play your favorite songs at a slightly higher volume.
నేను అలసిపోయి ఉన్నాను.,అలసిపోయారా? సీటు వెనుకకు వాల్చనా? మరియు మీకు మసాజ్ సెట్టింగును ప్రారంభించనా?,I am tired.,Tired? Should I recline the seat back? And start the massage setting for you?
నాకు చాలా ఒత్తిడిగా ఉంది.,మీరు ఒత్తిడికి గురవుతున్నారని తెలుసుకోవడం బాధగా ఉంది. నేను ప్రశాంతమైన సంగీతం మరియు సువాసనను వెదజల్లనా?,I am very stressed.,I'm sorry to hear you are stressed. Shall I play some calming music and release some aromatherapy?
కొంచెం చల్లగా ఉంది.,ఖచ్చితంగా. హీటర్ కొంచెం పెంచుతున్నాను. ఎంత ఉష్ణోగ్రత కావాలో చెప్పగలరు.,It's a little cold.,Sure. I am increasing the heater a bit. Please let me know what temperature you want.
నాకు ఇష్టమైన పాట ప్లే చేయండి.,తప్పకుండా. మీ ఇష్టమైన పాటను ప్లే చేస్తున్నాను.,Play my favorite song.,Certainly. I am playing your favorite song.
లైట్లు కొంచెం తగ్గించండి.,తగ్గించాను. ఇంకా తగ్గించాలా?,Dim the lights a little.,Dimmed. Should I dim them further?
విండోలు తెరవండి.,విండోలు తెరుస్తున్నాను.,Open the windows.,Opening the windows.
ఎయిర్ కండిషనర్ ఆన్ చేయండి.,ఎయిర్ కండిషనర్ ఆన్ చేసాను. ఎంత ఉష్ణోగ్రత కావాలో చెప్పండి.,Turn on the air conditioner.,I have turned on the air conditioner. Please tell me what temperature you want.
ఉష్ణోగ్రత 22 డిగ్రీల సెల్సియస్కు సెట్ చేయండి.,ఉష్ణోగ్రతను 22 డిగ్రీల సెల్సియస్కు సెట్ చేసాను.,Set the temperature to 22 degrees Celsius.,I have set the temperature to 22 degrees Celsius.
నా ఇంటికి దారి చూపించు.,"సరే, మీ ఇంటికి దారి చూపిస్తున్నాను.",Navigate me to my home.,"Okay, I am navigating you to your home."
నేను ఆత్రుతగా ఉన్నాను!,అద్భుతం! కొన్ని ఉత్తేజకరమైన పాటలు ప్లే చేయనా?,I'm excited!,Awesome! Shall I play some upbeat songs?
సైలెన్స్ చేయండి.,"సరే, సైలెన్స్ చేస్తున్నాను.",Silence it.,"Okay, silencing it."
రేడియో ఆన్ చేయండి.,"సరే, రేడియో ఆన్ చేస్తున్నాను. మీకు ఇష్టమైన స్టేషన్ ఏమిటి?",Turn on the radio.,"Okay, turning on the radio. What's your favorite station?"
నేను కలత చెందుతున్నాను.,నేను అర్థం చేసుకోగలను. ఒక నిమిషం పాటు విశ్రాంతి తీసుకోవడానికి ఎక్కడైనా ఆపాలా?,I am upset.,I understand. Should I stop somewhere for you to relax for a minute?
నేను ఆకలిగా ఉన్నాను.,మీకు దగ్గరలోని రెస్టారెంట్లు చూపిస్తాను. మీకు ఏం కావాలి?,I am hungry.,I'll show you restaurants nearby. What kind of food do you want?
నేను చాలా వేడిగా ఉన్నాను.,"సరే, ఏసీని ఎక్కువ చేయనా మరియు విండోలు కొద్దిగా తెరవనా?",I am very hot.,"Okay, should I increase the AC and open the windows a little?"
వాల్యూమ్ పెంచండి.,"సరే, వాల్యూమ్ పెంచుతున్నాను.",Increase the volume.,"Okay, increasing the volume."
తర్వాతి పాట ప్లే చేయండి.,తప్పకుండా. తర్వాతి పాట ప్లే చేస్తున్నాను.,Play the next song.,Certainly. Playing the next song.
నేను చాలా విసుగు చెందుతున్నాను.,విసుగ్గా ఉందా? కొత్త రూట్‌లో వెళ్లనా?,I am very bored.,Bored? Should I take a new route?
విండోలు మూయండి.,విండోలు మూస్తున్నాను.,Close the windows.,Closing the windows.
నాకు చాలా అలసటగా ఉంది.,"మీరు అలసిపోయారని వినడానికి విచారంగా ఉంది. మీ సీటును కొంచెం వంచి, రిలాక్సింగ్ మ్యూజిక్ ప్లే చేస్తాను.",I am very tired.,I am sorry to hear you're tired. I will recline your seat slightly and play some relaxing music.
నాకు చాలా సంతోషంగా ఉంది!,అద్భుతం! మీ కోసం కొంచెం ఉత్సాహపూరితమైన మ్యూజిక్ ప్లే చేస్తాను. మనం ఎక్కడికైనా వెళ్లాలనుకుంటున్నారా?,I am very happy!,Wonderful! I'll play some upbeat music for you. Would you like us to go anywhere?
నాకు కోపంగా ఉంది.,మీరు కోపంగా ఉన్నారని వినడానికి నేను చింతిస్తున్నాను. కాసేపు మౌనంగా ఉందామా లేదా ఏదైనా పాట వినాలా?,I am angry.,"I am sorry to hear you are angry. Would you like some silence, or would you like to listen to a song?"
కొంచెం వేడిగా ఉంది.,"ఖచ్చితంగా, ఉష్ణోగ్రతను తగ్గిస్తాను. ఇప్పుడు బాగుందా?",It's a little warm.,"Sure, I will lower the temperature. Is that better now?"
చల్లగా ఉంది.,వెంటనే ఏసీని పెంచుతాను. ఇప్పుడు ఎలా ఉంది?,It's cold.,I'll increase the AC immediately. How is it now?
సంగీతం ప్లే చేయి.,ఖచ్చితంగా. మీరు ఏమి వినాలనుకుంటున్నారు?,Play music.,Sure. What would you like to listen to?
లైట్లు వెలిగించు.,వెంటనే లైట్లు వెలిగిస్తాను.,Turn on the lights.,Turning on the lights immediately.
కిటికీలు తెరవండి.,"ఖచ్చితంగా, కిటికీలు తెరుస్తున్నాను.",Open the windows.,"Sure, I'm opening the windows."
ఏసీ ఆఫ్ చేయండి.,"సరే, ఏసీ ఆఫ్ చేస్తున్నాను.",Turn off the AC.,"Okay, I'm turning off the AC."
ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేయండి.,"సరే, ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేశాను.",Set the temperature to 22 degrees.,"Okay, I have set the temperature to 22 degrees."
ఇంటికి మార్గం చూపించు.,"సరే, ఇంటికి మార్గం సెట్ చేశాను. ప్రయాణం సజావుగా సాగుతుంది.",Show me the way home.,"Okay, I have set the route to home. Have a smooth journey."
వాల్యూమ్ పెంచండి.,"సరే, వాల్యూమ్ పెంచాను.",Increase the volume.,"Okay, I have increased the volume."
వాల్యూమ్ తగ్గించండి.,"సరే, వాల్యూమ్ తగ్గించాను.",Decrease the volume.,"Okay, I have decreased the volume."
నాకు నిద్ర వస్తోంది.,"మీరు నిద్రపోతున్నారని నాకు తెలుసు. కాసేపు విశ్రాంతి తీసుకోవడానికి సీటును వంచి, లైట్లను తగ్గిస్తాను.",I am feeling sleepy.,I see you are feeling sleepy. I will recline the seat and dim the lights so you can rest for a while.
నాకు భయంగా ఉంది.,మీరు భయపడుతున్నారని వినడానికి నేను చింతిస్తున్నాను. మేము సురక్షితంగా ఉన్నాము. మీరు నన్ను నమ్మవచ్చు.,I am scared.,I am sorry to hear you are scared. We are safe. You can trust me.
నేను ఒంటరిగా ఉన్నాను.,మీరు ఒంటరిగా ఉన్నారని వినడానికి నేను చింతిస్తున్నాను. నేను ఇక్కడ ఉన్నాను. మేము మాట్లాడుకుందామా?,I am lonely.,I am sorry to hear you are lonely. I am here. Shall we talk?
ముఖ్యమైన కాల్ చేయాలి.,ఖచ్చితంగా. మీ కాంటాక్ట్స్ లిస్ట్ చూపించనా?,I need to make an important call.,Sure. Shall I display your contacts list?
సంగీతం ఆపు.,సంగీతం ఆపాను.,Stop the music.,I have stopped the music.
నాకు చాలా ఆందోళనగా ఉంది.,"మీకు ఆందోళనగా ఉందని వినడానికి విచారంగా ఉంది. నెమ్మదిగా, లోతైన శ్వాస తీసుకోవడానికి మీకు సహాయం చేయనా? లేదా, మీ కోసం ఓదార్పు ధ్వనిని ప్లే చేయవచ్చు.",I am very stressed.,"I am sorry to hear you are stressed. Can I help you with some slow, deep breaths? Or I can play a calming sound for you."
దగ్గరలోని రెస్టారెంట్ కి వెళ్ళడానికి మార్గం చూపించు.,"సరే, సమీపంలోని రెస్టారెంట్ల కోసం వెతుకుతున్నాను. ఇక్కడ కొన్ని ఎంపికలు ఉన్నాయి. ఏది ఎంచుకుంటారు?",Show me the way to the nearest restaurant.,"Okay, searching for nearby restaurants. Here are some options. Which one would you like to choose?"
నేను చాలా సంతోషంగా ఉన్నాను!,అది వినడానికి చాలా సంతోషంగా ఉంది! నేను వేగవంతమైన పాటను ప్లే చేస్తాను మరియు మూడ్ లైటింగ్ పెంచుతాను.,I am very happy!,That's great to hear! I'll play an upbeat song and turn up the mood lighting.
నాకు చాలా ఒత్తిడిగా ఉంది.,మీరు ఒత్తిడిలో ఉన్నారని వినడం బాధగా ఉంది. నేను సున్నితమైన సంగీతాన్ని ప్లే చేస్తాను మరియు సీట్ మసాజర్ ప్రారంభిస్తాను.,I am very stressed.,I'm sorry to hear you're stressed. I'll play some soothing music and start the seat massager.
నాకు నిద్ర వస్తోంది.,మీరు నిద్రపోతున్నారా? నేను ప్రకాశవంతమైన లైట్లను వెలిగిస్తాను మరియు మీకు కాఫీ ఆర్డర్ చేయాలా?,I am feeling sleepy.,Are you feeling sleepy? I'll turn on the bright lights and should I order you a coffee?
నాకు చాలా ఆనందంగా ఉంది!,అద్భుతం! ఎక్కడికి వెళ్లాలని ఉంది? నేను మీకు సహాయం చేయడానికి ఇక్కడ ఉన్నాను.,I am very excited!,Wonderful! Where would you like to go? I'm here to help you.
సంగీతం పెట్టు.,ఖచ్చితంగా! మీకు ఇష్టమైన ప్లేలిస్ట్ ఏమిటి?,Play some music.,Sure! What's your favorite playlist?
లైట్లు కొంచెం తగ్గించు.,"సరే, లైట్లు తక్కువ చేశాను.",Dim the lights a little.,"Okay, I've dimmed the lights."
కిటికీలు తెరువు.,కిటికీలు తెరుస్తున్నాను.,Open the windows.,Opening the windows.
ఏసీ ఆన్ చేయ్.,ఖచ్చితంగా! ఏసీ ఆన్ చేశాను. మీకు కావలసిన ఉష్ణోగ్రత ఎంత?,Turn on the AC.,Sure! AC is on. What temperature would you like?
ఉష్ణోగ్రత 22 డిగ్రీలకు పెట్టు.,"సరే, ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేశాను.",Set the temperature to 22 degrees.,"Okay, I've set the temperature to 22 degrees."
నాకు దగ్గరలోని రెస్టారెంట్కు వెళ్లడానికి మార్గం చూపించు.,ఖచ్చితంగా! మీ కోసం సమీపంలోని రెస్టారెంట్లను కనుగొన్నాను. మీరు దేనికి వెళ్లాలనుకుంటున్నారు?,Show me the way to the nearest restaurant.,Sure! I've found some nearby restaurants for you. Which one would you like to go to?
నాకు కోపంగా ఉంది.,మీకు కోపంగా ఉందని వినడానికి నాకు విచారంగా ఉంది. కొన్ని శాంతించే వ్యాయామాలు చేద్దామా?,I am angry.,I am sorry to hear that you are angry. Shall we do some calming exercises?
వేడి ఎక్కువైంది.,"సరే, ఏసీ చల్లగా పెట్టుతున్నాను.",It's too hot.,"Okay, I'm setting the AC colder."
చల్లగా ఉంది.,"సరే, హీటర్ ఆన్ చేస్తున్నాను.",It's cold.,"Okay, I'm turning on the heater."
వాల్యూమ్ పెంచు.,"సరే, వాల్యూమ్ పెంచాను.",Increase the volume.,"Okay, I've increased the volume."
వాల్యూమ్ తగ్గించు.,"సరే, వాల్యూమ్ తగ్గించాను.",Decrease the volume.,"Okay, I've decreased the volume."
నేను చాలా అలసిపోయి ఉన్నాను.,మీరు అలసిపోయి ఉన్నారని వినడానికి నాకు విచారంగా ఉంది. నేను డ్రైవింగ్ మోడ్ ఆన్ చేయాలా?,I am very tired.,I'm sorry to hear that you are tired. Should I turn on the driving mode?
దీర్ఘకాలంగా ప్రయాణం చేయాలి.,"ఓహ్, మీరు ఎక్కడికి వెళ్లాలని అనుకుంటున్నారు? ప్రయాణానికి కావలసిన ఏర్పాట్లు చేస్తాను.",I need to go on a long drive.,"Oh, where would you like to go? I will make the necessary arrangements for the trip."
ఈ రోజు ట్రాఫిక్ ఎలా ఉంది?,ఈ రోజు ట్రాఫిక్ కొంచెం ఎక్కువగా ఉంది. నేను ఉత్తమ మార్గాన్ని కనుగొని మీకు తెలియజేస్తాను.,How is the traffic today?,The traffic is a bit high today. I will find the best route and let you know.
కొంచెం వెలుతురు పెంచు.,"సరే, వెలుతురు పెంచాను.",Increase the brightness a little.,"Okay, I've increased the brightness."
నేను విసుగ్గా ఉన్నాను.,మీరు విసుగ్గా ఉన్నారని వినడానికి నాకు విచారంగా ఉంది. మీ కోసం జోక్ చెప్పనా?,I am bored.,I'm sorry to hear that you're bored. Should I tell you a joke?
నాకు చాలా అలసటగా ఉంది.,"మీకు అలసటగా ఉందని నాకు తెలుసు. సీటును కొంచెం వంచి, వెచ్చని గాలి వచ్చేలా ఎయిర్ కండీషనర్ సెట్ చేస్తాను.",I am very tired.,I understand you are tired. I will recline the seat slightly and set the air conditioner to blow warm air.
నేను చాలా సంతోషంగా ఉన్నాను!,అలా వినడానికి చాలా సంతోషంగా ఉంది! మీ కోసం ఉత్సాహంగా ఉండే సంగీతం ప్లే చేస్తాను మరియు సన్‌రూఫ్ తెరుస్తాను.,I am very happy!,I am so happy to hear that! I will play some upbeat music for you and open the sunroof.
